date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:51:10	98650/98650	---MCZ	200	added ('OK')	text/html	etag:W/%2246e5e4aee08487b1a62dcb5c4947ddca%22	https://www.colsubsidio.com/afiliate/proceso	C:/Users/huertasjs/Documents/HTTrackPortable/httrack/colsubsidio/colsubsidio/www.colsubsidio.com/afiliate/proceso.html	(from https://www.colsubsidio.com/)
09:51:12	116863/116863	---MCZ	200	added ('OK')	text/html	etag:W/%22916bacaaea18c67b52bd93c820e59c1c%22	https://www.colsubsidio.com/afiliate/portal-transaccional	C:/Users/huertasjs/Documents/HTTrackPortable/httrack/colsubsidio/colsubsidio/www.colsubsidio.com/afiliate/portal-transaccional.html	(from https://www.colsubsidio.com/)
09:51:12	110692/110692	---MCZ	200	added ('OK')	text/html	etag:W/%22f701e3458e6178d891e9c7984b7a4117%22	https://www.colsubsidio.com/afiliate/tams	C:/Users/huertasjs/Documents/HTTrackPortable/httrack/colsubsidio/colsubsidio/www.colsubsidio.com/afiliate/tams.html	(from https://www.colsubsidio.com/)
09:51:12	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2014%20Sep%202023%2015:00:08%20GMT	https://www.colsubsidio.com/tus-beneficios	C:/Users/huertasjs/Documents/HTTrackPortable/httrack/colsubsidio/colsubsidio/www.colsubsidio.com/tus-beneficios	(from https://www.colsubsidio.com/)
09:51:14	124353/124353	---MCZ	200	added ('OK')	text/html	etag:W/%22515df9d60eb5e7356575b765523e3358%22	https://www.colsubsidio.com/afiliate	C:/Users/huertasjs/Documents/HTTrackPortable/httrack/colsubsidio/colsubsidio/www.colsubsidio.com/afiliate.html	(from https://www.colsubsidio.com/)
09:51:15	153709/153709	---MCZ	200	added ('OK')	text/html	etag:W/%227fa224a453b37ddc7a0995b862ee317d%22	https://www.colsubsidio.com/empleandote/enterate	C:/Users/huertasjs/Documents/HTTrackPortable/httrack/colsubsidio/colsubsidio/www.colsubsidio.com/empleandote/enterate.html	(from https://www.colsubsidio.com/)
09:51:16	124526/124526	---MCZ	200	added ('OK')	text/html	etag:W/%22a768faf969ea21726c8957cf7cfeaa28%22	https://www.colsubsidio.com/empresas/productividad/formacion	C:/Users/huertasjs/Documents/HTTrackPortable/httrack/colsubsidio/colsubsidio/www.colsubsidio.com/empresas/productividad/formacion.html	(from https://www.colsubsidio.com/)
09:51:16	100241/100241	---MCZ	200	added ('OK')	text/html	etag:W/%22f37baaff85e2b4a54165774966b2c9e7%22	https://www.colsubsidio.com/empleandote/inscribete/	C:/Users/huertasjs/Documents/HTTrackPortable/httrack/colsubsidio/colsubsidio/www.colsubsidio.com/empleandote/inscribete/index.html	(from https://www.colsubsidio.com/)
09:51:16	148837/148837	---MCZ	200	added ('OK')	text/html	etag:W/%22b61ac3458a33b05ba6a0ebb968d42dc0%22	https://www.colsubsidio.com/empleandote/oportunidades	C:/Users/huertasjs/Documents/HTTrackPortable/httrack/colsubsidio/colsubsidio/www.colsubsidio.com/empleandote/oportunidades.html	(from https://www.colsubsidio.com/)
09:51:17	114143/114143	---MCZ	200	added ('OK')	text/html	etag:W/%22bb6a5b350d208ebf88b273366f9e5815%22	https://www.colsubsidio.com/empleandote	C:/Users/huertasjs/Documents/HTTrackPortable/httrack/colsubsidio/colsubsidio/www.colsubsidio.com/empleandote.html	(from https://www.colsubsidio.com/)
